Fecha,Confirmados,Fallecidos
8/25/21,10781,163
8/26/21,7115,171
8/27/21,9489,139
8/28/21,0,0
8/29/21,0,0
8/30/21,15489,146
8/31/21,7767,194
9/1/21,6818,132
9/2/21,9561,168
9/3/21,6311,155
9/4/21,0,0
9/5/21,0,0
9/6/21,9357,133
9/7/21,5528,138
9/8/21,5618,81
9/9/21,4763,71
9/10/21,4440,72
9/11/21,0,0
9/12/21,0,0
9/13/21,7804,103
9/14/21,3261,155
9/15/21,3723,90
9/16/21,4075,101
9/17/21,3222,44
9/18/21,0,0
9/19/21,0,0
9/20/21,5988,118
9/21/21,2450,82
9/22/21,2840,102
9/23/21,3031,100
