Province/State,Country/Region,Lat,Long,Dia-90,Dia-89,Dia-88,Dia-87,Dia-86,Dia-85,Dia-84,Dia-83,Dia-82,Dia-81,Dia-80,Dia-79,Dia-78,Dia-77,Dia-76,Dia-75,Dia-74,Dia-73,Dia-72,Dia-71,Dia-70,Dia-69,Dia-68,Dia-67,Dia-66,Dia-65,Dia-64,Dia-63,Dia-62,Dia-61,Dia-60,Dia-59,Dia-58,Dia-57,Dia-56,Dia-55,Dia-54,Dia-53,Dia-52,Dia-51,Dia-50,Dia-49,Dia-48,Dia-47,Dia-46,Dia-45,Dia-44,Dia-43,Dia-42,Dia-41,Dia-40,Dia-39,Dia-38,Dia-37,Dia-36,Dia-35,Dia-34,Dia-33,Dia-32,Dia-31,Dia-30,Dia-29,Dia-28,Dia-27,Dia-26,Dia-25,Dia-24,Dia-23,Dia-22,Dia-21,Dia-20,Dia-19,Dia-18,Dia-17,Dia-16,Dia-15,Dia-14,Dia-13,Dia-12,Dia-11,Dia-10,Dia-9,Dia-8,Dia-7,Dia-6,Dia-5,Dia-4,Dia-3,Dia-2,Dia-1,Clase
,Benin,93.077,23.158,8170,8170,8170,8170,8199,8199,8199,8199,8199,8199,8199,8199,8227,8227,8227,8227,8227,8227,8227,8244,8244,8244,8244,8244,8244,8244,8244,8324,8324,8324,8324,8324,8324,8394,8394,8394,8394,8394,8394,8394,8608,8608,8608,8608,8608,8608,9065,9065,9065,9065,9065,9065,9065,9065,10183,10183,10183,10183,10183,12021,12492,12492,12492,13366,13366,13366,13366,13366,15932,15932,16946,16946,16946,16946,16946,19106,19106,19841,19841,19841,19841,21450,21450,21450,21450,21450,21450,21450,21450,21450,21450
,Bhutan,275.142,904.336,2013,2027,2052,2062,2076,2100,2104,2122,2133,2159,2169,2210,2249,2252,2258,2266,2275,2290,2324,2370,2380,2398,2411,2421,2427,2455,2456,2458,2470,2482,2486,2489,2500,2501,2506,2508,2515,2518,2524,2532,2540,2543,2544,2544,2544,2546,2550,2551,2553,2566,2570,2571,2577,2577,2577,2580,2580,2585,2585,2585,2591,2591,2591,2592,2594,2594,2595,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596,2597,2597,2597,2599,2599,2599
,Bolivia,-162.902,-635.887,431360,433013,433935,435568,437623,439624,441286,442884,444090,444968,446362,448213,449687,451224,451224,453595,454241,455436,456815,456815,459579,459579,461714,462154,463125,463125,465351,466318,467343,467975,468423,468423,470024,470929,471958,471958,473506,473899,474538,475265,476097,476795,476795,477262,477696,478671,478671,480229,480229,481631,481631,482428,482428,483731,484446,484446,485184,486394,486643,487131,487721,488403,488933,488933,489802,490056,490467,490879,491340,491759,491759,492509,492680,492680,493115,493518,493914,494293,494664,495035,495035,495612,496032,496032,496700,496950,497100,497386,497676,497984,498331
,Bosnia and Herzegovina,439.159,176.791,204945,204945,204945,204991,205004,205022,205032,205047,205047,205047,205047,205047,205047,205047,205047,205145,205145,205181,205214,205238,205267,205285,205285,205285,205313,205340,205345,205384,205420,205420,205420,205495,205523,205566,205610,205655,205655,205655,205785,205825,205949,206031,206106,206106,206106,206317,206476,206655,206835,207076,207076,207076,207571,207847,208267,208644,209073,209073,209073,209909,210442,211059,211689,212306,212306,212306,213379,213853,214759,215313,216124,216124,216124,217362,218080,219010,219804,220636,220636,220636,222161,222927,223957,224862,225857,225857,225857,227579,228105,229360,230212
,Botswana,-223.285,246.849,67492,67492,67492,69680,69680,69680,71443,71443,71443,71443,73977,73977,73977,75388,75388,75388,75388,80153,80153,80153,86133,86133,86133,86133,91902,91902,91902,97657,97657,97657,97657,102124,102124,102124,106690,106690,106690,106690,115220,115220,115220,122574,122574,122574,122574,130771,130771,130771,136758,136758,136758,136758,142380,142380,142380,146461,146461,146461,146461,150842,150842,150842,153793,153793,153793,153793,156927,156927,156927,159317,159317,159317,159317,162186,162186,162186,163665,163665,163665,163665,165644,165644,165644,172252,172252,172252,172252,173788,173788,173788,176427
,Brazil,-14.235,-519.253,18322760,18386894,18420598,18448402,18513305,18557141,18622304,18687469,18742025,18769808,18792511,18855015,18909037,18962762,19020499,19069003,19089940,19106971,19151993,19209729,19262518,19308109,19342448,19376574,19391845,19419437,19473954,19523711,19632443,19670534,19688663,19707662,19749073,19797086,19839369,19880273,19917855,19938358,19953501,19985817,20026533,20066587,20108746,20151779,20165672,20177757,20212642,20245085,20285067,20319000,20350142,20364099,20378570,20416183,20457897,20494212,20528099,20556487,20570891,20583994,20614866,20645537,20676561,20703906,20728605,20741815,20752281,20776870,20804215,20830495,20856060,20877864,20890779,20899933,20914237,20928008,20958899,20974850,20989164,20999779,21006424,21019830,21034610,21069017,21080219,21230325,21239783,21247667,21247094,21283567,21308178
,Brunei,45.353,1.147.277,256,259,259,259,259,260,261,261,262,262,262,266,266,266,266,268,268,277,282,282,282,282,283,283,283,305,305,311,313,321,321,333,333,333,333,336,337,337,338,338,338,339,339,339,347,406,440,494,543,598,640,723,787,852,946,946,1333,1455,1769,1873,1873,2159,2159,2380,2380,2462,2641,2712,2858,2960,3093,3093,3093,3464,3567,3683,3831,3894,4035,4163,4323,4431,4566,4675,4814,4957,5047,5261,5385,5586,5586
,Bulgaria,427.339,254.858,421487,421515,421531,421646,421751,421829,421902,421983,422034,422034,422151,422238,422298,422353,422414,422446,422462,422545,422619,422703,422797,422873,422930,422965,423078,423223,423319,423440,423575,423629,423686,423879,424079,424295,424526,424872,425054,425148,425541,426003,426432,426932,427481,427873,428049,428823,429628,430410,431292,432339,432962,433234,434535,435940,437327,438698,440066,440911,441295,443186,445097,446698,448431,450144,451148,451599,453689,455742,457487,459051,460691,461545,462033,462710,464715,466671,468300,469926,470835,471272,473270,475299,477161,478885,480777,481728,482186,484546,486738,487588,489423
,Burkina Faso,122.383,-15.616,13477,13478,13478,13479,13479,13479,13485,13488,13494,13494,13494,13494,13504,13505,13506,13506,13509,13520,13523,13527,13530,13532,13536,13536,13536,13537,13537,13537,13537,13538,13538,13550,13556,13560,13566,13573,13573,13588,13591,13591,13599,13599,13607,13610,13621,13625,13626,13632,13635,13668,13671,13675,13677,13677,13680,13692,13695,13699,13713,13715,13725,13737,13749,13754,13759,13762,13768,13777,13777,13798,13816,13827,13841,13851,13868,13872,13872,13906,13929,13942,13950,13959,13972,13984,14003,14025,14041,14052,14064,14076,14092
,Burma,219.162,95.956,151573,152356,153160,154385,155697,157277,159347,161210,163087,165405,168374,171976,175923,180055,184375,188752,192213,197227,201274,208357,212545,218739,224236,229521,234710,240570,246663,253364,258870,264527,269525,274155,279119,284099,289333,294460,299185,302665,306354,311067,315118,319250,322838,326489,329516,333127,337561,341300,344730,348186,351605,354279,356985,360291,363169,365759,368768,371512,373685,375871,378377,380879,383514,386202,389134,392300,395883,399282,402640,406099,409509,412587,415416,417971,420402,423104,425414,427516,429880,431833,434106,436527,438951,440741,442928,444871,446573,448158,449845,451663,453407
